Stkcd,Accper,TTM,ROCA,ROE
600048,2009/12/31,0.074066,0.055871,0.188003
600048,2009/12/31,0.07065,0.0606,0.110044
600048,2010/3/31,0.007922,0.005775,0.021157
600048,2010/3/31,0.004645,0.003887,0.006508
600048,2010/6/30,0.022797,0.01733,0.066339
600048,2010/6/30,0.010909,0.010334,0.018427
600048,2010/9/30,0.029389,0.021966,0.089211
600048,2010/9/30,0.015288,0.013648,0.024766
600048,2010/12/31,0.060309,0.045468,0.186677
600048,2010/12/31,0.017928,0.014747,0.028032
600048,2011/3/31,0.00585,0.004158,0.021068
600048,2011/3/31,0.001193,0.000916,0.002215
600048,2011/6/30,0.02372,0.017246,0.086763
600048,2011/6/30,0.010459,0.00979,0.024285
600048,2011/9/30,0.028343,0.02052,0.102441
600048,2011/9/30,0.012215,0.011486,0.029812
600048,2011/12/31,0.060254,0.04242,0.198886
600048,2011/12/31,0.034693,0.032217,0.074832
600048,2012/3/31,0.005462,0.00336,0.01576
600048,2012/3/31,0.001346,-0.000432,-0.001057
600048,2012/6/30,0.023197,0.015805,0.075502
600048,2012/6/30,0.014181,0.009208,0.023333
600048,2012/9/30,0.031762,0.021414,0.104553
600048,2012/9/30,0.022074,0.012321,0.031681
600048,2012/12/31,0.064656,0.044729,0.206076
600048,2012/12/31,0.03144,0.033876,0.087945
600048,2013/3/31,0.004878,0.002601,0.012266
600048,2013/3/31,0.002769,-0.000169,-0.00049
600048,2013/6/30,0.021126,0.013757,0.064767
600048,2013/6/30,0.014157,0.007494,0.023089
600048,2013/9/30,0.028807,0.018464,0.089162
600048,2013/9/30,0.019334,0.010526,0.033132
600048,2013/12/31,0.060474,0.04199,0.191466
600048,2013/12/31,0.049793,0.043293,0.132058
600048,2014/3/31,0.004679,0.002693,0.012563
600048,2014/3/31,0.005008,0.003034,0.010506
600048,2014/6/30,0.019462,0.012583,0.05938
600048,2014/6/30,0.017724,0.013355,0.049134
600048,2014/9/30,0.029938,0.019586,0.094329
600048,2014/9/30,0.054403,0.048765,0.178269
600048,2014/12/31,0.059741,0.041875,0.189719
600048,2014/12/31,0.076301,0.070373,0.248639
600048,2015/3/31,0.007802,0.004257,0.019242
600048,2015/3/31,0.003597,0.000803,0.003005
600048,2015/6/30,0.024243,0.015837,0.070932
600048,2015/6/30,0.016001,0.009104,0.035072
600048,2015/9/30,0.034187,0.021155,0.09548
600048,2015/9/30,0.021215,0.01177,0.046387
600048,2015/12/31,0.065563,0.043731,0.189062
600048,2015/12/31,0.043947,0.040187,0.156877
600048,2016/3/31,0.010305,0.006044,0.025373
600048,2016/3/31,0.004846,0.002236,0.008926
