Stkcd,Accper,bes
601390,2015/12/31,0.53
601390,2016/3/31,0.1
601390,2016/6/30,0.224
601390,2016/9/30,0.39
601390,2016/12/31,0.517
601390,2017/3/31,0.107
601390,2017/6/30,0.31
601390,2017/9/30,0.452
601390,2017/12/31,0.669
601390,2018/3/31,0.131
601390,2018/6/30,0.394
601390,2018/9/30,0.562
601390,2018/12/31,0.718
601390,2019/3/31,0.15
601390,2019/6/30,0.399
601390,2019/9/30,0.613
601390,2019/12/31,0.95
601390,2020/3/31,0.132
601390,2020/6/30,0.425
601390,2020/9/30,0.69
601390,2020/12/31,0.963
601390,2021/3/31,0.238
601390,2021/6/30,0.454
601390,2021/9/30,0.731
601390,2021/12/31,1.037
601390,2022/3/31,0.294
601390,2022/6/30,0.551
601390,2022/9/30,0.871
601390,2022/12/31,1.198
601390,2023/3/31,0.305
601390,2023/6/30,0.605
601390,2023/9/30,0.913
601390,2023/12/31,1.294
601390,2024/3/31,0.289
601390,2024/6/30,0.532
601390,2024/9/30,0.784
601390,2024/12/31,1.085
601390,2025/3/31,0.245
601390,2025/6/30,0.412
601919,2007/6/30,0.12
601919,2007/9/30,0.2
601919,2007/12/31,2.05
601919,2008/3/31,0.6
601919,2008/6/30,1.39
601919,2008/9/30,1.93
601919,2008/12/31,1.06
601919,2009/3/31,-0.33
601919,2009/6/30,-0.45
601919,2009/9/30,-0.52
601919,2009/12/31,-0.74
601919,2010/3/31,0.09
601919,2010/6/30,0.35
601919,2010/9/30,0.55
601919,2010/12/31,0.66
601919,2011/3/31,-0.05
601919,2011/6/30,-0.27
601919,2011/9/30,-0.47
601919,2011/12/31,-1.02
601919,2012/3/31,-0.26
601919,2012/6/30,-0.48
601919,2012/9/30,-0.63
601919,2012/12/31,-0.94
601919,2013/3/31,-0.19
601919,2013/6/30,-0.1
601919,2013/9/30,-0.2
601919,2013/12/31,0.02
601919,2014/3/31,-0.18
601919,2014/6/30,-0.22
601919,2014/9/30,-0.06
601919,2014/12/31,0.04
601919,2015/3/31,-0.1
601919,2015/6/30,0.19
601919,2015/9/30,0.02
601919,2015/12/31,0.03
601919,2016/3/31,-0.44
601919,2016/6/30,-0.71
601919,2016/9/30,-0.9
601919,2016/12/31,-0.97
601919,2017/3/31,0.03
601919,2017/6/30,0.18
601919,2017/9/30,0.27
601919,2017/12/31,0.26
601919,2018/3/31,0.02
601919,2018/6/30,0.004
601919,2018/9/30,0.08
601919,2018/12/31,0.12
601919,2019/3/31,0.06
601919,2019/6/30,0.1
601919,2019/9/30,0.18
601919,2019/12/31,0.56
601919,2020/3/31,0.02
601919,2020/6/30,0.09
601919,2020/9/30,0.31
