Stkcd,Accper,Source,CR,CaR,DER,DAR
600754,2008/12/31,0,4.045524,3.553273,0.139365,0.122318
600754,2009/3/31,0,3.948171,3.186984,0.182846,0.154581
600754,2009/6/30,0,3.771762,3.115451,0.191221,0.160525
600754,2009/9/30,0,3.950461,3.515605,0.186827,0.157417
600754,2009/12/31,0,3.912093,3.529378,0.192014,0.161083
600754,2010/3/31,0,5.009205,4.115815,0.171437,0.146347
600754,2010/6/30,0,1.157432,0.893855,0.307076,0.234934
600754,2010/9/30,0,1.319248,1.094611,0.234524,0.189971
600754,2010/12/31,0,0.998108,0.837778,0.270568,0.212951
600754,2011/3/31,0,1.052676,0.800289,0.240295,0.193741
600754,2011/6/30,0,0.955554,0.707877,0.315602,0.239892
600754,2011/9/30,0,1.017076,0.811785,0.256889,0.204385
600754,2011/12/31,0,0.957382,0.750297,0.236851,0.191495
600754,2012/3/31,0,1.151609,0.818849,0.224922,0.183621
600754,2012/6/30,0,1.006362,0.6998,0.25549,0.203498
600754,2012/9/30,0,1.022872,0.773345,0.277656,0.217317
600754,2012/12/31,0,1.030293,0.828577,0.262977,0.20822
600754,2013/3/31,0,1.227359,0.89701,0.243539,0.195843
600754,2013/6/30,0,0.321349,0.186507,0.681385,0.405252
600754,2013/9/30,0,0.410647,0.298544,0.684436,0.406329
600754,2013/12/31,0,0.369434,0.285985,0.616842,0.38151
600754,2014/3/31,0,0.413776,0.315587,0.603888,0.376515
600754,2014/6/30,0,0.349727,0.236762,0.621326,0.383221
600754,2014/9/30,0,0.442548,0.342864,0.601439,0.375562
600754,2014/12/31,0,1.942455,1.828007,0.301906,0.231895
600754,2015/3/31,0,0.598923,0.533236,2.006594,0.667398
600754,2015/6/30,0,1.270553,0.474718,2.144886,0.682023
600754,2015/9/30,0,1.292438,0.477874,2.249219,0.692234
600754,2015/12/31,0,0.773583,0.519038,2.189139,0.686436
600754,2016/3/31,0,0.609473,0.348678,3.400501,0.772753
600754,2016/6/30,0,0.504547,0.316675,3.667468,0.785751
600754,2016/9/30,0,0.642741,0.3915,2.175521,0.685091
600754,2016/12/31,0,0.802856,0.526947,2.086749,0.676035
600754,2017/3/31,0,0.850095,0.537225,2.042159,0.671286
600754,2017/6/30,0,0.891475,0.426452,1.970176,0.66332
600754,2017/9/30,0,0.916935,0.458918,1.962586,0.662457
600754,2017/12/31,0,1.788462,1.423847,1.980328,0.664467
600754,2018/3/31,0,1.715211,1.303632,2.132958,0.680813
600754,2018/6/30,0,1.352704,0.991148,1.940004,0.659864
600754,2018/9/30,0,1.385239,1.020836,1.903046,0.655534
600754,2018/12/31,0,1.221757,0.913419,1.908565,0.656188
600754,2019/3/31,0,1.144586,0.711162,1.822762,0.645737
600754,2019/6/30,0,1.091532,0.725561,1.805355,0.643539
600754,2019/9/30,0,1.090894,0.735951,1.743158,0.635457
600754,2019/12/31,0,1.115886,0.776462,1.707866,0.630706
600754,2020/3/31,0,1.150524,0.670486,1.642088,0.621511
600754,2020/6/30,0,0.977803,0.553462,1.705406,0.63037
600754,2020/9/30,0,1.191867,0.82908,1.904231,0.655675
600754,2020/12/31,0,1.204839,0.868203,1.818948,0.645258
600754,2021/3/31,0,1.712903,1.344099,1.937194,0.659539
600754,2021/6/30,0,1.043073,0.807187,1.879052,0.652663
600754,2021/9/30,0,1.07257,0.801644,1.798212,0.642629
600754,2021/12/31,0,0.782898,0.470063,1.783889,0.64079
600754,2022/3/31,0,0.885433,0.453949,1.756981,0.637284
600754,2022/6/30,0,1.099355,0.515413,1.716975,0.631944
600754,2022/9/30,0,0.873605,0.439432,1.710077,0.631007
600754,2022/12/31,0,0.885864,0.422876,1.765613,0.638417
600754,2023/3/31,0,0.908239,0.466083,1.782507,0.640612
600754,2023/6/30,0,0.958295,0.605217,1.911107,0.656488
600754,2023/9/30,0,1.24807,0.828275,1.83801,0.64764
600754,2023/12/31,0,1.069363,0.671279,1.913904,0.656818
600754,2024/3/31,0,0.898129,0.553542,1.86115,0.65049
600754,2024/6/30,0,0.988411,0.718842,1.73386,0.634217
600754,2024/9/30,0,0.993432,0.709978,1.722177,0.632647
600754,2024/12/31,0,0.890854,0.617788,1.940217,0.659889
600754,2025/3/31,0,0.836025,0.585326,1.884905,0.653368
600754,2025/6/30,0,1.00347,0.614034,1.893092,0.654349
